TransactionID,CustomerID,Gender,Age,City,ProductCategory,Quantity,Price,PurchaseDate,PaymentMode,TotalAmount,Age Group,Price Level,Month,Dayname
T00133,C3646,Other,43,Ahmedabad,Fashion,3,724,2023-05-01,Wallet,2172,Senior,Medium,May,Monday
T00134,C9837,Female,42,Hyderabad,Books,2,2833,2023-11-23,Wallet,5666,Senior,High,November,Thursday
T00135,C9689,Other,65,Mumbai,Fashion,5,1069,2023-06-28,Wallet,5345,Senior,Medium,June,Wednesday
T00136,C1009,Female,20,Pune,Books,5,3053,2023-09-05,Wallet,15265,young Adult,High,September,Tuesday
T00137,C6310,Other,55,Kolkata,Sports,3,794,2023-09-29,UPI,2382,Senior,Medium,September,Friday
T00138,C9005,Male,63,Bengaluru,Sports,1,455,2023-12-03,Card,455,Senior,Medium,December,Sunday
T00139,C1319,Female,54,Chennai,Beauty,2,1337,2023-04-03,UPI,2674,Senior,Medium,April,Monday
T00140,C2832,Female,70,Mumbai,Books,5,1558,2023-06-03,Cash,7790,Senior,High,June,Saturday
T00141,C6947,Male,30,Ahmedabad,Sports,5,3611,2023-04-29,Cash,18055,Adult,High,April,Saturday
T00142,C6038,Other,39,Ahmedabad,Books,1,4445,2023-05-30,UPI,4445,Adult,Expensive,May,Tuesday
T00143,C4923,Male,64,Jaipur,Sports,3,2843,2023-12-09,UPI,8529,Senior,High,December,Saturday
T00144,C1949,Other,63,Chennai,Beauty,1,1585,2023-09-06,Card,1585,Senior,High,September,Wednesday
T00145,C4946,Male,32,Jaipur,Sports,4,3583,2023-09-08,Cash,14332,Adult,High,September,Friday
T00146,C2290,Male,61,Ahmedabad,Beauty,1,1330,2023-11-19,Cash,1330,Senior,Medium,November,Sunday
T00147,C2403,Female,52,Hyderabad,Books,2,2570,2023-07-20,Wallet,5140,Senior,High,July,Thursday
T00148,C8962,Female,58,Lucknow,Books,5,2451,2023-11-03,Card,12255,Senior,High,November,Friday
T00149,C2133,Other,68,Bengaluru,Electronics,3,2953,2023-07-02,Card,8859,Senior,High,July,Sunday
T00150,C9727,Male,48,Jaipur,Furniture,4,951,2023-10-06,Wallet,3804,Senior,Medium,October,Friday
T00151,C3060,Other,60,Kolkata,Furniture,2,2320,2023-09-04,Card,4640,Senior,High,September,Monday
T00152,C3103,Male,40,Kolkata,Electronics,5,4189,2023-06-01,Card,20945,Adult,Expensive,June,Thursday
T00153,C8787,Male,50,Ahmedabad,Electronics,5,3123,2023-02-19,Wallet,15615,Senior,High,February,Sunday
T00154,C3705,Female,37,Chennai,Books,3,2274,2023-04-23,Card,6822,Adult,High,April,Sunday
T00155,C5342,Male,28,Lucknow,Fashion,3,725,2023-02-27,Wallet,2175,Adult,Medium,February,Monday
T00156,C9645,Female,60,Jaipur,Electronics,3,117,2023-05-28,Wallet,351,Senior,Low,May,Sunday
T00157,C7932,Female,53,Bengaluru,Furniture,4,1317,2023-08-03,Card,5268,Senior,Medium,August,Thursday
T00158,C4470,Male,29,Delhi,Groceries,3,1300,2023-08-17,Card,3900,Adult,Medium,August,Thursday
T00159,C9835,Male,36,Jaipur,Groceries,2,2723,2023-06-16,UPI,5446,Adult,High,June,Friday
T00160,C4295,Other,24,Bengaluru,Beauty,3,1310,2023-05-07,Cash,3930,young Adult,Medium,May,Sunday
T00161,C6107,Other,48,Ahmedabad,Groceries,3,3299,2023-12-06,Card,9897,Senior,High,December,Wednesday
T00162,C7537,Other,26,Chennai,Fashion,2,3759,2023-08-06,UPI,7518,Adult,Expensive,August,Sunday
T00163,C7118,Female,65,Chennai,Books,4,4019,2023-03-01,Card,16076,Senior,Expensive,March,Wednesday
T00164,C8177,Female,34,Jaipur,Furniture,5,651,2023-04-01,Wallet,3255,Adult,Medium,April,Saturday
T00165,C9479,Female,64,Kolkata,Sports,3,1027,2023-08-26,Cash,3081,Senior,Medium,August,Saturday
T00166,C8397,Female,69,Ahmedabad,Sports,1,4833,2023-06-13,Card,4833,Senior,Expensive,June,Tuesday
T00167,C2982,Female,53,Mumbai,Books,2,3601,2023-12-05,Card,7202,Senior,High,December,Tuesday
T00168,C5061,Female,66,Jaipur,Groceries,1,2381,2023-02-28,Wallet,2381,Senior,High,February,Tuesday
T00169,C4681,Male,29,Pune,Fashion,5,1285,2023-06-27,Card,6425,Adult,Medium,June,Tuesday
T00170,C2049,Other,61,Bengaluru,Beauty,4,840,2023-12-23,UPI,3360,Senior,Medium,December,Saturday
T00171,C6539,Other,39,Mumbai,Groceries,1,2746,2023-07-23,UPI,2746,Adult,High,July,Sunday
T00172,C1344,Other,59,Lucknow,Electronics,1,1144,2023-12-27,Cash,1144,Senior,Medium,December,Wednesday
T00173,C4770,Male,23,Kolkata,Beauty,2,1589,2023-03-07,Cash,3178,young Adult,High,March,Tuesday
T00174,C4608,Other,32,Lucknow,Books,4,3254,2023-09-05,UPI,13016,Adult,High,September,Tuesday
T00175,C1117,Female,40,Hyderabad,Electronics,5,2988,2023-09-08,Cash,14940,Adult,High,September,Friday
T00176,C2163,Male,32,Kolkata,Fashion,4,2715,2023-11-04,Wallet,10860,Adult,High,November,Saturday
T00177,C1964,Male,65,Delhi,Fashion,4,4148,2023-07-30,Card,16592,Senior,Expensive,July,Sunday
T00178,C4750,Other,37,Jaipur,Books,5,3572,2023-12-18,Wallet,17860,Adult,High,December,Monday
T00179,C2104,Female,44,Pune,Beauty,1,4042,2023-05-01,UPI,4042,Senior,Expensive,May,Monday
T00180,C1514,Other,68,Hyderabad,Fashion,1,3491,2023-01-15,Cash,3491,Senior,High,January,Sunday
T00181,C6413,Male,39,Jaipur,Beauty,5,2831,2023-05-29,Wallet,14155,Adult,High,May,Monday
T00182,C2160,Other,41,Ahmedabad,Fashion,1,1232,2023-05-18,Card,1232,Senior,Medium,May,Thursday
T00183,C9423,Male,34,Jaipur,Groceries,4,2114,2023-09-17,Cash,8456,Adult,High,September,Sunday
T00184,C4899,Male,55,Bengaluru,Fashion,1,3239,2023-04-21,UPI,3239,Senior,High,April,Friday
T00185,C5562,Male,36,Lucknow,Fashion,3,3529,2023-07-29,UPI,10587,Adult,High,July,Saturday
T00186,C8953,Female,47,Chennai,Fashion,4,4600,2023-02-01,Cash,18400,Senior,Expensive,February,Wednesday
T00187,C4510,Female,25,Kolkata,Electronics,5,4172,2023-10-15,Wallet,20860,young Adult,Expensive,October,Sunday
T00188,C9834,Other,48,Pune,Furniture,3,4513,2023-06-15,UPI,13539,Senior,Expensive,June,Thursday
T00189,C3167,Other,21,Kolkata,Beauty,4,4472,2023-05-14,Cash,17888,young Adult,Expensive,May,Sunday
T00190,C8744,Other,58,Delhi,Books,2,4135,2023-12-12,Wallet,8270,Senior,Expensive,December,Tuesday
T00191,C4981,Female,55,Delhi,Books,1,4462,2023-06-12,Wallet,4462,Senior,Expensive,June,Monday
T00192,C8749,Other,55,Jaipur,Electronics,1,4492,2023-07-30,Card,4492,Senior,Expensive,July,Sunday
T00193,C7669,Female,57,Delhi,Electronics,4,1985,2023-07-20,Wallet,7940,Senior,High,July,Thursday
T00194,C4119,Male,22,Mumbai,Electronics,3,3250,2023-08-15,UPI,9750,young Adult,High,August,Tuesday
T00195,C2545,Male,48,Bengaluru,Books,2,784,2023-08-06,Card,1568,Senior,Medium,August,Sunday
T00196,C2588,Female,30,Bengaluru,Furniture,4,4859,2023-07-24,Cash,19436,Adult,Expensive,July,Monday
T00197,C8062,Female,50,Mumbai,Books,1,3555,2023-05-14,Cash,3555,Senior,High,May,Sunday
T00198,C6804,Male,25,Hyderabad,Furniture,2,4416,2023-01-28,UPI,8832,young Adult,Expensive,January,Saturday
T00199,C7939,Female,61,Delhi,Electronics,1,4833,2023-05-18,Card,4833,Senior,Expensive,May,Thursday
T00200,C7735,Male,42,Ahmedabad,Fashion,3,1896,2023-09-06,Wallet,5688,Senior,High,September,Wednesday
T00201,C8651,Other,51,Hyderabad,Electronics,3,814,2023-04-23,Wallet,2442,Senior,Medium,April,Sunday
T00202,C1887,Male,37,Delhi,Electronics,2,2026,2023-06-23,Wallet,4052,Adult,High,June,Friday
T00203,C2612,Male,44,Mumbai,Books,1,3063,2023-11-22,Cash,3063,Senior,High,November,Wednesday
T00204,C1993,Other,21,Lucknow,Beauty,5,123,2023-01-24,Cash,615,young Adult,Low,January,Tuesday
T00205,C7596,Female,27,Pune,Sports,3,1765,2023-06-07,UPI,5295,Adult,High,June,Wednesday
T00206,C6559,Other,26,Ahmedabad,Sports,2,240,2023-08-18,UPI,480,Adult,Low,August,Friday
T00207,C2790,Male,30,Jaipur,Electronics,2,3068,2023-07-29,UPI,6136,Adult,High,July,Saturday
T00208,C5073,Male,39,Lucknow,Furniture,4,4674,2023-04-24,UPI,18696,Adult,Expensive,April,Monday
T00209,C4139,Male,44,Lucknow,Electronics,3,3982,2023-10-21,Wallet,11946,Senior,Expensive,October,Saturday
T00210,C4116,Male,54,Chennai,Groceries,1,1194,2023-03-27,UPI,1194,Senior,Medium,March,Monday
T00211,C9786,Male,47,Mumbai,Electronics,3,1002,2023-10-02,UPI,3006,Senior,Medium,October,Monday
T00212,C8350,Other,27,Kolkata,Electronics,4,588,2023-04-16,Cash,2352,Adult,Medium,April,Sunday
T00213,C3296,Male,38,Hyderabad,Groceries,5,2961,2023-11-17,Cash,14805,Adult,High,November,Friday
T00214,C7912,Female,63,Lucknow,Beauty,2,3056,2023-02-26,Cash,6112,Senior,High,February,Sunday
T00215,C4006,Other,29,Delhi,Electronics,1,1241,2023-11-11,Wallet,1241,Adult,Medium,November,Saturday
T00216,C5563,Other,67,Mumbai,Books,2,2514,2023-11-09,Card,5028,Senior,High,November,Thursday
T00217,C8579,Other,23,Hyderabad,Electronics,4,3871,2023-06-18,Wallet,15484,young Adult,Expensive,June,Sunday
T00218,C5092,Male,49,Ahmedabad,Books,1,1280,2023-03-08,Card,1280,Senior,Medium,March,Wednesday
T00219,C2235,Male,39,Delhi,Electronics,3,4617,2023-11-06,Wallet,13851,Adult,Expensive,November,Monday
T00220,C8260,Other,58,Ahmedabad,Sports,5,3549,2023-10-04,UPI,17745,Senior,High,October,Wednesday
T00221,C2604,Male,29,Mumbai,Fashion,5,2086,2023-01-11,Cash,10430,Adult,High,January,Wednesday
T00222,C1828,Female,38,Kolkata,Sports,4,1826,2023-01-11,Wallet,7304,Adult,High,January,Wednesday
T00223,C9856,Female,58,Jaipur,Fashion,2,1939,2023-07-14,Wallet,3878,Senior,High,July,Friday
T00224,C1241,Male,21,Pune,Fashion,5,557,2023-02-16,Wallet,2785,young Adult,Medium,February,Thursday
T00225,C2528,Other,18,Kolkata,Beauty,2,1228,2023-12-27,Cash,2456,young Adult,Medium,December,Wednesday
T00226,C4872,Male,46,Mumbai,Groceries,5,1060,2023-06-20,Cash,5300,Senior,Medium,June,Tuesday
T00227,C3724,Male,35,Lucknow,Electronics,5,1272,2023-06-30,Cash,6360,Adult,Medium,June,Friday
T00228,C7658,Male,31,Chennai,Electronics,5,3192,2023-10-11,Cash,15960,Adult,High,October,Wednesday
T00229,C8956,Other,66,Jaipur,Fashion,2,315,2023-02-02,Cash,630,Senior,Medium,February,Thursday
T00230,C8886,Female,67,Mumbai,Books,1,3579,2023-12-02,Card,3579,Senior,High,December,Saturday
T00231,C4502,Male,28,Delhi,Beauty,5,3144,2023-01-26,UPI,15720,Adult,High,January,Thursday
T00232,C7570,Other,54,Chennai,Groceries,2,543,2023-09-23,Wallet,1086,Senior,Medium,September,Saturday
T00233,C1960,Other,66,Delhi,Sports,1,968,2023-04-18,Wallet,968,Senior,Medium,April,Tuesday
T00234,C3697,Female,28,Hyderabad,Groceries,2,4864,2023-07-05,Cash,9728,Adult,Expensive,July,Wednesday
T00235,C7209,Other,49,Jaipur,Groceries,3,704,2023-10-02,UPI,2112,Senior,Medium,October,Monday
T00236,C1035,Other,68,Delhi,Fashion,5,4006,2023-04-12,Wallet,20030,Senior,Expensive,April,Wednesday
T00237,C7396,Other,66,Delhi,Books,2,4965,2023-03-22,Wallet,9930,Senior,Expensive,March,Wednesday
T00238,C5345,Female,67,Hyderabad,Sports,5,1395,2023-10-02,Cash,6975,Senior,Medium,October,Monday
T00239,C8454,Male,23,Jaipur,Books,3,347,2023-07-22,Wallet,1041,young Adult,Medium,July,Saturday
T00240,C5673,Female,26,Pune,Beauty,2,1303,2023-04-28,Wallet,2606,Adult,Medium,April,Friday
T00241,C7930,Male,57,Hyderabad,Sports,1,3092,2023-05-29,Cash,3092,Senior,High,May,Monday
T00242,C8973,Other,45,Hyderabad,Fashion,5,1257,2023-03-24,Card,6285,Senior,Medium,March,Friday
T00243,C3536,Other,58,Jaipur,Sports,5,747,2023-07-11,Card,3735,Senior,Medium,July,Tuesday
T00244,C4111,Male,45,Hyderabad,Sports,3,2107,2023-06-19,Cash,6321,Senior,High,June,Monday
